"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","457","Đăng nhập từ file Excel","Smoke Test Suite","Tue Mar 31 09:45:29 UTC 2026","passed","Tue Mar 31 09:45:30 UTC 2026","tests.LoginTest","Login Smoke Tests","tests.LoginTest","testLoginWithExcel"
"","495","Đăng nhập từ file Excel","Smoke Test Suite","Tue Mar 31 09:45:33 UTC 2026","passed","Tue Mar 31 09:45:34 UTC 2026","tests.LoginTest","Login Smoke Tests","tests.LoginTest","testLoginWithExcel"
"Sử dụng GitHub Secrets để bảo vệ thông tin đăng nhập nhạy cảm","484","BÀI 3: Đăng nhập bằng tài khoản bảo mật (GitHub Secrets)","Smoke Test Suite","Tue Mar 31 09:45:45 UTC 2026","passed","Tue Mar 31 09:45:46 UTC 2026","tests.LoginTest","Login Smoke Tests","tests.LoginTest","testLoginWithSecrets"
"","5475","Đăng nhập từ file Excel","Smoke Test Suite","Tue Mar 31 09:45:37 UTC 2026","passed","Tue Mar 31 09:45:42 UTC 2026","tests.LoginTest","Login Smoke Tests","tests.LoginTest","testLoginWithExcel"
