"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5446","Đăng nhập từ file Excel","Smoke Test Suite","Tue Mar 31 16:30:05 UTC 2026","passed","Tue Mar 31 16:30:10 UTC 2026","tests.LoginTest","Login Smoke Tests","tests.LoginTest","testLoginWithExcel"
"","462","Đăng nhập từ file Excel","Smoke Test Suite","Tue Mar 31 16:29:59 UTC 2026","passed","Tue Mar 31 16:29:59 UTC 2026","tests.LoginTest","Login Smoke Tests","tests.LoginTest","testLoginWithExcel"
"","437","Đăng nhập từ file Excel","Smoke Test Suite","Tue Mar 31 16:30:02 UTC 2026","passed","Tue Mar 31 16:30:02 UTC 2026","tests.LoginTest","Login Smoke Tests","tests.LoginTest","testLoginWithExcel"
"Sử dụng GitHub Secrets để bảo vệ thông tin đăng nhập nhạy cảm","382","BÀI 3: Đăng nhập bằng tài khoản bảo mật (GitHub Secrets)","Smoke Test Suite","Tue Mar 31 16:30:13 UTC 2026","passed","Tue Mar 31 16:30:14 UTC 2026","tests.LoginTest","Login Smoke Tests","tests.LoginTest","testLoginWithSecrets"
