"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","587","Đăng nhập từ file Excel","Smoke Test Suite","Tue Mar 31 16:30:15 UTC 2026","passed","Tue Mar 31 16:30:15 UTC 2026","tests.LoginTest","Login Smoke Tests","tests.LoginTest","testLoginWithExcel"
"Sử dụng GitHub Secrets để bảo vệ thông tin đăng nhập nhạy cảm","387","BÀI 3: Đăng nhập bằng tài khoản bảo mật (GitHub Secrets)","Smoke Test Suite","Tue Mar 31 16:30:31 UTC 2026","passed","Tue Mar 31 16:30:31 UTC 2026","tests.LoginTest","Login Smoke Tests","tests.LoginTest","testLoginWithSecrets"
"","600","Đăng nhập từ file Excel","Smoke Test Suite","Tue Mar 31 16:30:18 UTC 2026","passed","Tue Mar 31 16:30:19 UTC 2026","tests.LoginTest","Login Smoke Tests","tests.LoginTest","testLoginWithExcel"
"","5422","Đăng nhập từ file Excel","Smoke Test Suite","Tue Mar 31 16:30:22 UTC 2026","passed","Tue Mar 31 16:30:28 UTC 2026","tests.LoginTest","Login Smoke Tests","tests.LoginTest","testLoginWithExcel"
